price,qty,side,timestamp_utc,symbol
76828.69,0.042,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.4,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.1,0.006,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.0,0.189,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76827.91,0.026,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76827.51,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76827.2,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76827.09,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76827.08,0.19639,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76826.81,8e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76826.62,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76826.47,9e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76826.4,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.85,1.05703,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.86,0.00063,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.87,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76842.01,0.02807,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76842.25,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76842.55,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76842.61,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.31,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.32,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.41,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.5,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.51,0.32564,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76843.91,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.01,0.02814,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.55,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.66,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.67,0.38059,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.75,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76844.9,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76845.14,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76845.32,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76845.69,0.00273,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76845.96,0.00139,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76845.97,8e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.01,0.02807,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.04,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.09,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.41,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.45,0.00234,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.7,0.00494,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76846.96,0.00255,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.32,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.6,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.69,8e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.81,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.89,0.0001,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.9,0.02115,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76847.93,0.00823,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.0,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.01,0.028,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.11,0.00039,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.12,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.31,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.49,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.73,0.001,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76848.74,0.004,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76849.16,0.00988,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76849.53,0.00137,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76849.6,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76849.83,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.0,0.00025,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.01,0.028,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.39,0.00988,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.4,0.00047,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.41,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.46,0.00048,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.62,0.0019,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.76,8e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76850.88,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.1,0.0005,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.19,7e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.44,0.004,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.45,0.004,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.55,0.13078,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.56,0.0026,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.59,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.82,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.9,8e-05,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76851.92,0.03903,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.01,0.028,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.41,0.00014,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.52,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.58,0.001,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.6,0.04,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.68,0.0052,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.71,0.021,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76852.95,0.00051,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76853.03,0.00651,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76853.04,0.002,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76853.05,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76853.32,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76853.36,0.02,ask,2026-09-17T17:18:48.236056+00:00,BTCUSDT
